gene	type	organ
SEC23A	Possible DD Gene	Eye
PNPLA2	Probable DD gene	Musculature
SOS1	Confirmed DD Gene	Skin
SOS1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
LRP2	Confirmed DD Gene	Brain/Cognition
LRP2	Confirmed DD Gene	Kidney Renal Tract
LRP2	Confirmed DD Gene	Ear
RAF1	Confirmed DD Gene	Ear
RAF1	Confirmed DD Gene	Skin
RAF1	Confirmed DD Gene	Skeleton
GLE1	Confirmed DD Gene	Spinal cord/Peripheral nerves
PCNT	Confirmed DD Gene	Bone Marrow/Immune 
FAM58A	Confirmed DD Gene	Face
FAM58A	Confirmed DD Gene	Kidney Renal Tract
AK2	Confirmed DD Gene	Ear
TARDBP	IF Gene: Adult No Rx	Spinal cord/Peripheral nerves
TMEM70	Confirmed DD Gene	Endocrine/Metabolic
IRF6	Confirmed DD Gene	Skeleton
TEK	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
TEK	Confirmed DD Gene	Skin
TAC3	Possible DD Gene	Endocrine/Metabolic
TACR3	Possible DD Gene	Endocrine/Metabolic
SOX9	Confirmed DD Gene	Genitalia
SOX9	Confirmed DD Gene	Face
SDHAF1	Confirmed DD Gene	Endocrine/Metabolic
TACO1	Probable DD gene	Endocrine/Metabolic
SHOC2	Confirmed DD Gene	Skeleton
SHOC2	Confirmed DD Gene	Skin
VIPAS39	Confirmed DD Gene	Skeleton
VIPAS39	Confirmed DD Gene	Kidney Renal Tract
VIPAS39	Confirmed DD Gene	GI tract
PRRX1	Possible DD Gene	Ear
ARSB	Confirmed DD Gene	Brain/Cognition
ARSB	Confirmed DD Gene	Skeleton
ARSB	Confirmed DD Gene	GI tract
OBSL1	Confirmed DD Gene	Brain/Cognition
GLB1	Confirmed DD Gene	Brain/Cognition
GUSB	Confirmed DD Gene	Brain/Cognition
GUSB	Confirmed DD Gene	Skeleton
GUSB	Confirmed DD Gene	Face
CTSD	Confirmed DD Gene	Endocrine/Metabolic
CLN3	Confirmed DD Gene	Brain/Cognition
CLN3	Confirmed DD Gene	Eye
CLN5	Confirmed DD Gene	Endocrine/Metabolic
CLN5	Confirmed DD Gene	Eye
NAGLU	Confirmed DD Gene	Endocrine/Metabolic
NAGLU	Confirmed DD Gene	Skeleton
FUCA1	Confirmed DD Gene	Endocrine/Metabolic
FUCA1	Confirmed DD Gene	Skeleton
FUCA1	Confirmed DD Gene	GI tract
GALNS	Both DD and IF	Endocrine/Metabolic
GALNS	Both DD and IF	Skeleton
GBA	Both DD and IF	Skeleton
GBA	Both DD and IF	Bone Marrow/Immune 
GNS	Confirmed DD Gene	Endocrine/Metabolic
GNS	Confirmed DD Gene	Skeleton
HEXA	Confirmed DD Gene	Endocrine/Metabolic
HEXB	Confirmed DD Gene	Endocrine/Metabolic
HEXB	Confirmed DD Gene	Eye
HGSNAT	Confirmed DD Gene	Endocrine/Metabolic
HYAL1	Confirmed DD Gene	Endocrine/Metabolic
PEX12	Confirmed DD Gene	Endocrine/Metabolic
PEX12	Confirmed DD Gene	Skeleton
PEX12	Confirmed DD Gene	Eye
PEX12	Confirmed DD Gene	GI tract
PEX12	Confirmed DD Gene	Ear
PEX14	Confirmed DD Gene	Endocrine/Metabolic
PEX14	Confirmed DD Gene	GI tract
PEX14	Confirmed DD Gene	Eye
PEX14	Confirmed DD Gene	Ear
PEX16	Confirmed DD Gene	Endocrine/Metabolic
PEX16	Confirmed DD Gene	Skeleton
PEX16	Confirmed DD Gene	Eye
PEX16	Confirmed DD Gene	Ear
PEX19	Confirmed DD Gene	Kidney Renal Tract
PEX19	Confirmed DD Gene	Endocrine/Metabolic
PEX19	Confirmed DD Gene	Eye
PEX19	Confirmed DD Gene	Ear
PEX19	Confirmed DD Gene	GI tract
PEX3	Confirmed DD Gene	Endocrine/Metabolic
PEX3	Confirmed DD Gene	Kidney Renal Tract
PEX6	Confirmed DD Gene	Endocrine/Metabolic
PEX6	Confirmed DD Gene	Kidney Renal Tract
PEX6	Confirmed DD Gene	GI tract
PPT1	Confirmed DD Gene	Endocrine/Metabolic
PPT1	Confirmed DD Gene	Eye
GM2A	Confirmed DD Gene	Endocrine/Metabolic
SGSH	Confirmed DD Gene	Bone Marrow/Immune 
TPP1	Confirmed DD Gene	Endocrine/Metabolic
ALG12	Confirmed DD Gene	Endocrine/Metabolic
ALG12	Confirmed DD Gene	Skeleton
AMER1	Both DD and IF	Face
CHD7	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
CHD7	Confirmed DD Gene	Skeleton
CHD7	Confirmed DD Gene	Ear
CHD7	Confirmed DD Gene	Brain/Cognition
CHD7	Confirmed DD Gene	Eye
COL3A1	Confirmed DD Gene	Skeleton
COL3A1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
COL9A1	Confirmed DD Gene	Eye
COL9A1	Confirmed DD Gene	Face
COL9A2	Confirmed DD Gene	Eye
COL9A2	Confirmed DD Gene	Face
COL9A2	Confirmed DD Gene	Ear
COL11A2	Confirmed DD Gene	Face
COL11A2	Confirmed DD Gene	Eye
COL11A2	Confirmed DD Gene	Ear
DOCK8	Possible DD Gene	Bone Marrow/Immune 
DSPP	Confirmed DD Gene	Ear
FREM1	Confirmed DD Gene	Eye
FREM1	Confirmed DD Gene	Skeleton
FREM1	Confirmed DD Gene	Skin
FREM1	Confirmed DD Gene	Kidney Renal Tract
FREM1	Confirmed DD Gene	GI tract
RAB18	Confirmed DD Gene	Eye
RAB18	Confirmed DD Gene	Genitalia
RAB3GAP1	Confirmed DD Gene	Eye
RAB3GAP1	Confirmed DD Gene	Genitalia
DYNC2H1	Confirmed DD Gene	Kidney Renal Tract
DYNC2H1	Confirmed DD Gene	GI tract
EFNB1	Confirmed DD Gene	Face
EVC	Confirmed DD Gene	Teeth & Dentitian
EVC	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
FOXL2	Probable DD gene	Heart/Cardiovasculature/Lymphatic
IFT43	Confirmed DD Gene	Skeleton
IFT43	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
IFT43	Confirmed DD Gene	GI tract
EVC2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
EVC2	Confirmed DD Gene	Teeth & Dentitian
LBR	Confirmed DD Gene	Brain/Cognition
LBR	Confirmed DD Gene	Bone Marrow/Immune 
LMX1B	Confirmed DD Gene	Skin
LRP5	Confirmed DD Gene	Eye
MYH8	Both DD and IF	Cancer predisposition
MYH8	Both DD and IF	Skin
IKBKG	Confirmed DD Gene	Skin
IKBKG	Confirmed DD Gene	Bone Marrow/Immune 
IKBKG	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
PAPSS2	Confirmed DD Gene	Endocrine/Metabolic
HSPG2	Confirmed DD Gene	Musculature
PTH1R	Confirmed DD Gene	Endocrine/Metabolic
RUNX2	Confirmed DD Gene	Teeth & Dentitian
SLC39A13	Confirmed DD Gene	Skin
ALDH5A1	Confirmed DD Gene	Endocrine/Metabolic
ALDH5A1	Confirmed DD Gene	Brain/Cognition
ATP7B	Child IF	Endocrine/Metabolic
ATP7B	Child IF	GI tract
AUH	Confirmed DD Gene	Brain/Cognition
BTD	Confirmed DD Gene	Brain/Cognition
BTD	Confirmed DD Gene	Skin
BTD	Confirmed DD Gene	Ear
BCS1L	Confirmed DD Gene	Endocrine/Metabolic
BCS1L	Confirmed DD Gene	GI tract
CP	IF Gene: Adult No Rx	Brain/Cognition
CP	IF Gene: Adult No Rx	Eye
CP	IF Gene: Adult No Rx	GI tract
DDC	Confirmed DD Gene	Endocrine/Metabolic
DDC	Confirmed DD Gene	GI tract
ETFA	Confirmed DD Gene	Brain/Cognition
ETFB	Confirmed DD Gene	Brain/Cognition
ETFDH	Confirmed DD Gene	Brain/Cognition
FAH	Confirmed DD Gene	Brain/Cognition
FAH	Confirmed DD Gene	Kidney Renal Tract
FAH	Confirmed DD Gene	GI tract
HFE	IF Gene: Adult Rx	GI tract
LMBRD1	Confirmed DD Gene	Skeleton
LMBRD1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
LCAT	Possible DD Gene	Eye
LCAT	Possible DD Gene	Kidney Renal Tract
MAT1A	Probable DD gene	Endocrine/Metabolic
MMAA	Confirmed DD Gene	Brain/Cognition
MMAB	Confirmed DD Gene	Endocrine/Metabolic
MTTP	Confirmed DD Gene	Endocrine/Metabolic
MTTP	Confirmed DD Gene	Brain/Cognition
MTTP	Confirmed DD Gene	Eye
MTTP	Confirmed DD Gene	Bone Marrow/Immune 
MUT	Confirmed DD Gene	Brain/Cognition
PSAP	Confirmed DD Gene	Brain/Cognition
VDR	Confirmed DD Gene	Skeleton
ADCK3	Confirmed DD Gene	Endocrine/Metabolic
ADCK3	Confirmed DD Gene	Musculature
UGT1A1	Confirmed DD Gene	Endocrine/Metabolic
ALMS1	Confirmed DD Gene	Eye
ALMS1	Confirmed DD Gene	Brain/Cognition
ALMS1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
CD151	Probable DD gene	Skin
CD151	Probable DD gene	Kidney Renal Tract
CISD2	Both DD and IF	Brain/Cognition
CISD2	Both DD and IF	Ear
CISD2	Both DD and IF	GI tract
CLCNKA	Possible DD Gene	Kidney Renal Tract
CLCNKA	Possible DD Gene	Endocrine/Metabolic
CLCNKB	Probable DD gene	Endocrine/Metabolic
COL4A3	Confirmed DD Gene	Kidney Renal Tract
COL4A3	Confirmed DD Gene	Eye
COL4A4	Confirmed DD Gene	Kidney Renal Tract
COL4A4	Confirmed DD Gene	Eye
COL4A5	Child IF	Kidney Renal Tract
COL4A5	Child IF	Eye
FGF3	Confirmed DD Gene	Teeth & Dentitian
FGF9	Probable DD gene	Ear
GPR98	Child IF	Ear
ITM2B	IF Gene: Adult No Rx	Heart/Cardiovasculature/Lymphatic
KCNQ1	Both DD and IF	Heart/Cardiovasculature/Lymphatic
LHX3	Confirmed DD Gene	Skeleton
LHX3	Confirmed DD Gene	Endocrine/Metabolic
MGP	Confirmed DD Gene	Skeleton
MGP	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
MGP	Confirmed DD Gene	Ear
MGP	Confirmed DD Gene	Brain/Cognition
MYCN	Confirmed DD Gene	Brain/Cognition
MYCN	Confirmed DD Gene	Skeleton
MYCN	Confirmed DD Gene	GI tract
MYCN	Confirmed DD Gene	Ear
DPM3	Probable DD gene	Brain/Cognition
DPM3	Probable DD gene	Face
DYRK1A	Confirmed DD Gene	Brain/Cognition
DYRK1A	Confirmed DD Gene	Face
RFT1	Probable DD gene	
ACVR2B	Possible DD Gene	GI tract
ALG1	Confirmed DD Gene	Brain/Cognition
ALG1	Confirmed DD Gene	GI tract
ALG11	Probable DD gene	Brain/Cognition
ALG2	Probable DD gene	Brain/Cognition
ALG3	Confirmed DD Gene	Brain/Cognition
ALG6	Confirmed DD Gene	Endocrine/Metabolic
ALG6	Confirmed DD Gene	Brain/Cognition
ALG8	Confirmed DD Gene	Brain/Cognition
ALG9	Probable DD gene	Brain/Cognition
CFC1	Probable DD gene	
COG1	Confirmed DD Gene	Brain/Cognition
COG4	Confirmed DD Gene	Brain/Cognition
COG5	Probable DD gene	Brain/Cognition
COG7	Confirmed DD Gene	Brain/Cognition
COG8	Confirmed DD Gene	Brain/Cognition
CRELD1	Probable DD gene	GI tract
DHCR24	Confirmed DD Gene	Brain/Cognition
DHCR24	Confirmed DD Gene	Skeleton
DHCR24	Confirmed DD Gene	Face
DKC1	Confirmed DD Gene	Bone Marrow/Immune 
DKC1	Confirmed DD Gene	Endocrine/Metabolic
DLD	Confirmed DD Gene	Brain/Cognition
ELN	Confirmed DD Gene	Skin
FANCB	Confirmed DD Gene	Cancer predisposition
FANCI	Confirmed DD Gene	Cancer predisposition
FANCL	Probable DD gene	Cancer predisposition
FANCM	Probable DD gene	Cancer predisposition
GLI3	Confirmed DD Gene	Skeleton
HESX1	Probable DD gene	Brain/Cognition
MLYCD	Confirmed DD Gene	Brain/Cognition
MOCS1	Confirmed DD Gene	Brain/Cognition
MOCS2	Confirmed DD Gene	Brain/Cognition
MOGS	Probable DD gene	Brain/Cognition
MPDU1	Confirmed DD Gene	Endocrine/Metabolic
MPI	Confirmed DD Gene	Brain/Cognition
NODAL	Confirmed DD Gene	GI tract
OTC	Confirmed DD Gene	Endocrine/Metabolic
PDHA1	Confirmed DD Gene	Endocrine/Metabolic
PMM2	Confirmed DD Gene	Brain/Cognition
RNU4ATAC	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ROR2	Confirmed DD Gene	Genitalia
ROR2	Confirmed DD Gene	Brain/Cognition
SALL4	Confirmed DD Gene	Kidney Renal Tract
SALL4	Confirmed DD Gene	Eye
SAMHD1	Confirmed DD Gene	Skin
SLC25A19	Possible DD Gene	Endocrine/Metabolic
SLC35A1	Probable DD gene	Brain/Cognition
SMAD3	Both DD and IF	Skeleton
SRD5A3	Confirmed DD Gene	Brain/Cognition
SUCLG1	Confirmed DD Gene	Brain/Cognition
SURF1	Confirmed DD Gene	Brain/Cognition
TBX1	Confirmed DD Gene	Brain/Cognition
TBX1	Confirmed DD Gene	Bone Marrow/Immune 
TCTN2	Probable DD gene	Skeleton
TCTN2	Probable DD gene	Kidney Renal Tract
TFAP2B	Confirmed DD Gene	Skeleton
TFAP2B	Confirmed DD Gene	Face
TFAP2B	Confirmed DD Gene	Eye
TGFBR2	Confirmed DD Gene	Skeleton
TGFBR2	Confirmed DD Gene	Face
TK2	Confirmed DD Gene	Brain/Cognition
TRIM37	Confirmed DD Gene	GI tract
TRIM37	Confirmed DD Gene	Brain/Cognition
TRIM37	Confirmed DD Gene	Eye
TUFM	Probable DD gene	Brain/Cognition
TWIST1	Confirmed DD Gene	Skeleton
UBE3A	Confirmed DD Gene	Face
UQCRB	Probable DD gene	Brain/Cognition
UQCRQ	Probable DD gene	Brain/Cognition
VPS13B	Confirmed DD Gene	Skeleton
VPS13B	Confirmed DD Gene	Teeth & Dentitian
VPS33B	Confirmed DD Gene	Kidney Renal Tract
VPS33B	Confirmed DD Gene	GI tract
ZIC3	Confirmed DD Gene	Skeleton
ACY1	Confirmed DD Gene	Endocrine/Metabolic
AKT1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
ERBB3	Possible DD Gene	Spinal cord/Peripheral nerves
HIBCH	Confirmed DD Gene	Endocrine/Metabolic
PIP5K1C	Possible DD Gene	Spinal cord/Peripheral nerves
PREPL	Possible DD Gene	Endocrine/Metabolic
PREPL	Possible DD Gene	Kidney Renal Tract
RAB23	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
SNAP29	Probable DD gene	Spinal cord/Peripheral nerves
ACO2	Probable DD gene	Eye
SMARCB1	Confirmed DD Gene	Brain/Cognition
SMARCB1	Confirmed DD Gene	Skeleton
ARID1B	Confirmed DD Gene	Skeleton
ARID1B	Confirmed DD Gene	Skin
ARID1A	Confirmed DD Gene	Brain/Cognition
ARID1A	Confirmed DD Gene	Skeleton
ARID1A	Confirmed DD Gene	Skin
SMARCA4	Confirmed DD Gene	Brain/Cognition
SMARCA4	Confirmed DD Gene	Skeleton
SMARCE1	Probable DD gene	Brain/Cognition
SMARCE1	Probable DD gene	Skeleton
DNAAF3	Confirmed DD Gene	Respiratory tract
DNAAF3	Confirmed DD Gene	Genitalia
NBN	Confirmed DD Gene	Skeleton
RAD50	Possible DD Gene	Bone Marrow/Immune 
RAD50	Possible DD Gene	Brain/Cognition
NOTCH2	Confirmed DD Gene	Skeleton
NOTCH2	Confirmed DD Gene	Kidney Renal Tract
LYST	Confirmed DD Gene	Skin
LYST	Confirmed DD Gene	Bone Marrow/Immune 
LYST	Confirmed DD Gene	Kidney Renal Tract
SCARF2	Confirmed DD Gene	Skin
BANF1	Probable DD gene	Skeleton
BANF1	Probable DD gene	Endocrine/Metabolic
COL9A3	Confirmed DD Gene	Musculature
ANO5	Both DD and IF	Musculature
ANKH	Confirmed DD Gene	Brain/Cognition
ANKH	Confirmed DD Gene	Ear
THRA	Confirmed DD Gene	Brain/Cognition
GUCY2C	Confirmed DD Gene	GI tract
SHANK1	Probable DD gene	Brain/Cognition
NSUN2	Probable DD gene	Brain/Cognition
IFT140	Confirmed DD Gene	Eye
IFT140	Confirmed DD Gene	Skeleton
IFT140	Confirmed DD Gene	Kidney Renal Tract
CEP135	Probable DD gene	Brain/Cognition
SF3B4	Confirmed DD Gene	Face
GNAI3	Confirmed DD Gene	Face
GNAI3	Confirmed DD Gene	Ear
PLCB4	Probable DD gene	Ear
PLCB4	Probable DD gene	Face
AAAS	Confirmed DD Gene	Face
AAAS	Confirmed DD Gene	Endocrine/Metabolic
AAAS	Confirmed DD Gene	Eye
ISPD	Confirmed DD Gene	Eye
ISPD	Confirmed DD Gene	Brain/Cognition
UVSSA	Confirmed DD Gene	Skin
UVSSA	Confirmed DD Gene	Bone Marrow/Immune 
KAT6B	Confirmed DD Gene	Genitalia
KAT6B	Confirmed DD Gene	Skeleton
KANSL1	Confirmed DD Gene	Brain/Cognition
EXOSC3	Confirmed DD Gene	Brain/Cognition
EXOSC3	Confirmed DD Gene	Spinal cord/Peripheral nerves
IRX5	Probable DD gene	Face
IRX5	Probable DD gene	Bone Marrow/Immune 
IRX5	Probable DD gene	Brain/Cognition
IRX5	Probable DD gene	Skeleton
CCDC103	Confirmed DD Gene	Lungs
CCDC103	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
CCDC103	Confirmed DD Gene	GI tract
WNT5A	Confirmed DD Gene	Skeleton
WNT5A	Confirmed DD Gene	Face
LRBA	Probable DD gene	Bone Marrow/Immune 
RAD21	Confirmed DD Gene	Brain/Cognition
RAD21	Confirmed DD Gene	Face
RAD21	Confirmed DD Gene	Skeleton
MTO1	Confirmed DD Gene	Endocrine/Metabolic
MTO1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
GPSM2	Confirmed DD Gene	Brain/Cognition
ABCC9	Both DD and IF	Skin
ABCC9	Both DD and IF	Heart/Cardiovasculature/Lymphatic
PIK3CA	Confirmed DD Gene	Skeleton
PIK3CA	Confirmed DD Gene	Endocrine/Metabolic
AKT3	Probable DD gene	Brain/Cognition
MTOR	Possible DD Gene	Brain/Cognition
PIK3R2	Confirmed DD Gene	Brain/Cognition
TGFB2	Both DD and IF	Heart/Cardiovasculature/Lymphatic
ASAH1	Confirmed DD Gene	Spinal cord/Peripheral nerves
ASAH1	Confirmed DD Gene	Brain/Cognition
ASAH1	Confirmed DD Gene	Skin
TMEM165	Confirmed DD Gene	Skeleton
TMEM165	Confirmed DD Gene	Brain/Cognition
TMEM165	Confirmed DD Gene	GI tract
PHF21A	Probable DD gene	Brain/Cognition
MBD5	Possible DD Gene	Brain/Cognition
NR1I3	Possible DD Gene	Brain/Cognition
PIGO	Confirmed DD Gene	Brain/Cognition
PIGO	Confirmed DD Gene	Endocrine/Metabolic
CARD14	Confirmed DD Gene	Skin
HOXB1	Probable DD gene	Face
POC1A	Confirmed DD Gene	Skeleton
IFITM5	Confirmed DD Gene	Skeleton
MLL	Confirmed DD Gene	Skin
MLL	Confirmed DD Gene	Brain/Cognition
MLL	Confirmed DD Gene	Skeleton
CCDC78	Probable DD gene	Musculature
TCTN3	Confirmed DD Gene	Skeleton
RBPJ	Probable DD gene	Skeleton
RBPJ	Probable DD gene	Skin
RFX6	Confirmed DD Gene	Endocrine/Metabolic
RFX6	Confirmed DD Gene	GI tract
RANBP2	Possible DD Gene	Brain/Cognition
ITGA3	Confirmed DD Gene	Respiratory tract
ITGA3	Confirmed DD Gene	Skin
ITGA3	Confirmed DD Gene	Kidney Renal Tract
NMNAT1	Confirmed DD Gene	Eye
ATP1A3	Both DD and IF	Brain/Cognition
PDE6H	Probable DD gene	Eye
RTTN	Probable DD gene	Brain/Cognition
GTDC2	Confirmed DD Gene	Brain/Cognition
GTDC2	Confirmed DD Gene	Eye
VAMP1	Child IF	Brain/Cognition
GRM1	Probable DD gene	Brain/Cognition
C4orf26	Confirmed DD Gene	Teeth & Dentitian
MMP14	Possible DD Gene	Skeleton
PAX3	Confirmed DD Gene	Ear
PAX3	Confirmed DD Gene	GI tract
PAX3	Confirmed DD Gene	Face
ABCD1	Both DD and IF	Brain/Cognition
ABCD1	Both DD and IF	Endocrine/Metabolic
ALX4	Confirmed DD Gene	Skeleton
ALX4	Confirmed DD Gene	Face
AR	Both DD and IF	Brain/Cognition
AR	Both DD and IF	Endocrine/Metabolic
AR	Both DD and IF	Genitalia
ARSE	Confirmed DD Gene	Skeleton
ARSE	Confirmed DD Gene	Brain/Cognition
AVPR2	Child IF	Endocrine/Metabolic
AVPR2	Child IF	Kidney Renal Tract
BMPR2	Child IF	Heart/Cardiovasculature/Lymphatic
BMPR2	Child IF	Lungs
BTK	Child IF	Bone Marrow/Immune 
CDKN1C	Confirmed DD Gene	Endocrine/Metabolic
CDKN1C	Confirmed DD Gene	Cancer predisposition
CHM	Confirmed DD Gene	Eye
COL1A1	Confirmed DD Gene	Skeleton
EDA	Confirmed DD Gene	Skin
EDA	Confirmed DD Gene	Teeth & Dentitian
FZD4	Child IF	Eye
GATA3	Child IF	Ear
GATA3	Child IF	Endocrine/Metabolic
GATA3	Child IF	Kidney Renal Tract
GK	Both DD and IF	Endocrine/Metabolic
IGF1R	Child IF	Endocrine/Metabolic
KAL1	Child IF	Endocrine/Metabolic
LHX4	Confirmed DD Gene	Endocrine/Metabolic
MTM1	Confirmed DD Gene	Musculature
NDP	Confirmed DD Gene	Eye
NDP	Confirmed DD Gene	Brain/Cognition
PHEX	Child IF	Endocrine/Metabolic
PKD2	Child IF	Kidney Renal Tract
PTPN11	Confirmed DD Gene	Skeleton
PTPN11	Confirmed DD Gene	Ear
PTPN11	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
RPS19	Confirmed DD Gene	Bone Marrow/Immune 
RS1	IF Gene: Adult No Rx	Eye
RUNX1	Child IF	Bone Marrow/Immune 
SGCE	Child IF	Brain/Cognition
SH2D1A	Child IF	Bone Marrow/Immune 
SLC16A2	Confirmed DD Gene	Endocrine/Metabolic
SLC16A2	Confirmed DD Gene	Brain/Cognition
STS	Confirmed DD Gene	Skin
STS	Confirmed DD Gene	Eye
TBX3	Confirmed DD Gene	Skeleton
TBX3	Confirmed DD Gene	Musculature
TIMM8A	Both DD and IF	Brain/Cognition
TIMM8A	Both DD and IF	Ear
TIMM8A	Both DD and IF	Musculature
XIAP	Child IF	Bone Marrow/Immune 
CRB1	Confirmed DD Gene	Eye
DIP2B	Possible DD Gene	Brain/Cognition
RPGRIP1	Confirmed DD Gene	Eye
AIPL1	Confirmed DD Gene	Eye
KIAA0226	Possible DD Gene	Brain/Cognition
DNMT3B	Confirmed DD Gene	Brain/Cognition
DNMT3B	Confirmed DD Gene	Bone Marrow/Immune 
YWHAE	Possible DD Gene	
KLF8	Possible DD Gene	Brain/Cognition
ZFPM2	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
ZFPM2	Possible DD Gene	GI tract
EFTUD2	Confirmed DD Gene	Skeleton
SKI	Confirmed DD Gene	Skeleton
SKI	Confirmed DD Gene	Brain/Cognition
SKI	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
LRIG2	Probable DD gene	Kidney Renal Tract
LRIG2	Probable DD gene	Face
FLT4	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
FOXC2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
FOXC2	Confirmed DD Gene	Eye
EPG5	Confirmed DD Gene	Brain/Cognition
EPG5	Confirmed DD Gene	Eye
EPG5	Confirmed DD Gene	Musculature
EPG5	Confirmed DD Gene	Skin
UBE3B	Confirmed DD Gene	Brain/Cognition
UBE3B	Confirmed DD Gene	GI tract
UBE3B	Confirmed DD Gene	Skin
UBE3B	Confirmed DD Gene	Skeleton
GATAD2B	Possible DD Gene	Brain/Cognition
SLC6A17		Brain/Cognition
FAM38B		Musculature
DIS3L2	Confirmed DD Gene	Cancer predisposition
DLX5	Possible DD Gene	Skeleton
SLC6A3	Confirmed DD Gene	Brain/Cognition
BRAT1	Probable DD gene	Brain/Cognition
CRADD	Possible DD Gene	Brain/Cognition
TUBGCP6	Possible DD Gene	Brain/Cognition
TUBGCP6	Possible DD Gene	Eye
SNIP1	Possible DD Gene	Brain/Cognition
SNIP1	Possible DD Gene	Skeleton
HARS	Possible DD Gene	Eye
HARS	Possible DD Gene	Ear
MARVELD2	Probable DD gene	Ear
MPZ	IF Gene: Adult No Rx	Spinal cord/Peripheral nerves
MSRB3	Probable DD gene	Ear
MYO15A	Confirmed DD Gene	Ear
SATB2	Confirmed DD Gene	Skeleton
CABP2	Probable DD gene	Ear
PITX1	Probable DD gene	Skeleton
HYDIN	Confirmed DD Gene	Respiratory tract
HYDIN	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
HYDIN	Confirmed DD Gene	GI tract
HEATR2	Probable DD gene	Respiratory tract
HCFC1	Confirmed DD Gene	Brain/Cognition
PLCG2	Possible DD Gene	Skin
PLCG2	Possible DD Gene	Bone Marrow/Immune 
RMND1	Possible DD Gene	Brain/Cognition
RMND1	Possible DD Gene	Endocrine/Metabolic
HINT1	Confirmed DD Gene	Spinal cord/Peripheral nerves
HINT1	Confirmed DD Gene	Musculature
ABCD4	Probable DD gene	Endocrine/Metabolic
ABCD4	Probable DD gene	Brain/Cognition
OTOGL	Confirmed DD Gene	Ear
MEGF8	Confirmed DD Gene	Skeleton
MEGF8	Confirmed DD Gene	GI tract
MEGF8	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
HOXC13	Confirmed DD Gene	Hair/Nails
PNPT1	Confirmed DD Gene	Ear
COX7B	Confirmed DD Gene	Eye
COX7B	Confirmed DD Gene	Skin
LRRC6	Confirmed DD Gene	Respiratory tract
KCNT1	Confirmed DD Gene	Brain/Cognition
ADAR	Confirmed DD Gene	Brain/Cognition
CHMP1A	Probable DD gene	Brain/Cognition
CIB2	Confirmed DD Gene	Ear
CIB2	Confirmed DD Gene	Eye
CLPP	Probable DD gene	Ear
CLPP	Probable DD gene	Genitalia
IGSF1	Confirmed DD Gene	Endocrine/Metabolic
IGSF1	Confirmed DD Gene	Genitalia
SMCHD1	Possible DD Gene	Musculature
CYP2U1	Confirmed DD Gene	Brain/Cognition
TECPR2	Probable DD gene	Brain/Cognition
DDHD1	Confirmed DD Gene	Brain/Cognition
DDHD2	Confirmed DD Gene	Brain/Cognition
AIFM1	Probable DD gene	Brain/Cognition
AIFM1	Probable DD gene	Endocrine/Metabolic
DHTKD1	Probable DD gene	Endocrine/Metabolic
DHTKD1	Probable DD gene	Brain/Cognition
EXPH5	Probable DD gene	Skin
PACS1	Probable DD gene	Brain/Cognition
WDR45	Confirmed DD Gene	Brain/Cognition
TMEM5	Confirmed DD Gene	Brain/Cognition
TMEM5	Confirmed DD Gene	Genitalia
CHD8	Probable DD gene	Brain/Cognition
TBR1	Probable DD gene	Brain/Cognition
TBL1XR1	Probable DD gene	Brain/Cognition
GNAL	Not DD Gene	Brain/Cognition
AP2S1	Not DD Gene	Kidney Renal Tract
LRIT3	Probable DD gene	Eye
SNRPE	Probable DD gene	Hair/Nails
CCDC114	Confirmed DD Gene	Respiratory tract
INPPL1	Confirmed DD Gene	Skeleton
ECEL1	Confirmed DD Gene	Skeleton
MEOX1	Probable DD gene	Skeleton
CDH3	Confirmed DD Gene	Eye
CDH3	Confirmed DD Gene	Skin
ADAMTS18	Possible DD Gene	Eye
ADAMTS18	Possible DD Gene	Skeleton
ADAMTS18	Possible DD Gene	Skin
COL18A1	Confirmed DD Gene	Eye
COL18A1	Confirmed DD Gene	Skeleton
COL18A1	Confirmed DD Gene	Skin
NOTCH1	Probable DD gene	Heart/Cardiovasculature/Lymphatic
