gene	type	organ
SOX10	Confirmed DD Gene	Ear
TBX22	Confirmed DD Gene	Face
RARS2	Confirmed DD Gene	Brain/Cognition
CDH23	Confirmed DD Gene	Ear
CDH23	Confirmed DD Gene	Eye
GJB6	Confirmed DD Gene	Ear
GJB3	Both DD and IF	Ear
GJB3	Both DD and IF	Skin
GJB2	Confirmed DD Gene	Ear
GJB2	Confirmed DD Gene	Skin
FGF9	Probable DD gene	Skeleton
FGF3	Confirmed DD Gene	Ear
EYA4	Confirmed DD Gene	Ear
ESRRB	Confirmed DD Gene	Ear
ESPN	Confirmed DD Gene	Ear
EDNRB	Confirmed DD Gene	Skin
DIAPH1	Child IF	Ear
DIABLO	IF Gene: Adult Rx	Ear
DFNA5	Probable DD gene	Ear
COL4A5	Child IF	Ear
COL4A4	Confirmed DD Gene	Ear
COL4A3	Confirmed DD Gene	Ear
COCH	IF Gene: Adult Rx	Ear
CLRN1	Child IF	Eye
CLRN1	Child IF	Ear
CLDN14	Confirmed DD Gene	Ear
CISD2	Both DD and IF	Endocrine/Metabolic
CLCNKB	Probable DD gene	Kidney Renal Tract
DHCR24	Confirmed DD Gene	Endocrine/Metabolic
FBN2	Confirmed DD Gene	Skeleton
GFAP	Confirmed DD Gene	Brain/Cognition
BFSP2	Confirmed DD Gene	Eye
MITF	Confirmed DD Gene	Ear
AGTR2	Possible DD Gene	Brain/Cognition
UBE2A	Confirmed DD Gene	Brain/Cognition
WNT3	Confirmed DD Gene	Skeleton
ZIC2	Confirmed DD Gene	Brain/Cognition
ZIC3	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
VPS33B	Confirmed DD Gene	Skeleton
VPS13B	Confirmed DD Gene	Brain/Cognition
UQCRQ	Probable DD gene	Endocrine/Metabolic
UQCRB	Probable DD gene	Endocrine/Metabolic
UBE3A	Confirmed DD Gene	Brain/Cognition
TYMP	IF Gene: Adult No Rx	Multisystem
TWIST1	Confirmed DD Gene	Brain/Cognition
TUFM	Probable DD gene	Endocrine/Metabolic
TSEN54	Confirmed DD Gene	Brain/Cognition
TSEN34	Probable DD gene	Brain/Cognition
TSEN2	Probable DD gene	Brain/Cognition
TRIM37	Confirmed DD Gene	Musculature
TK2	Confirmed DD Gene	Endocrine/Metabolic
TGIF1	Confirmed DD Gene	Brain/Cognition
TGFBR2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
TFAP2B	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
TCTN2	Probable DD gene	Brain/Cognition
TCTN1	Probable DD gene	Brain/Cognition
TBX1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
SYN1	Probable DD gene	Brain/Cognition
SURF1	Confirmed DD Gene	Endocrine/Metabolic
SUMO1	Possible DD Gene	Face
SUCLG1	Confirmed DD Gene	Endocrine/Metabolic
ST3GAL5	Probable DD gene	Brain/Cognition
SRD5A3	Confirmed DD Gene	Endocrine/Metabolic
SMAD3	Both DD and IF	Heart/Cardiovasculature/Lymphatic
SLC35A1	Probable DD gene	Endocrine/Metabolic
SLC25A22	Probable DD gene	Brain/Cognition
SLC25A19	Possible DD Gene	Brain/Cognition
SIX3	Confirmed DD Gene	Brain/Cognition
SH3BP2	Child IF	Skeleton
SCN2A	Confirmed DD Gene	Brain/Cognition
SCN1A	Confirmed DD Gene	Brain/Cognition
SAMHD1	Confirmed DD Gene	Brain/Cognition
SALL4	Confirmed DD Gene	Skeleton
ROR2	Confirmed DD Gene	Skeleton
RNU4ATAC	Confirmed DD Gene	Skeleton
RELN	Confirmed DD Gene	Brain/Cognition
PMM2	Confirmed DD Gene	Endocrine/Metabolic
PLCB1	Possible DD Gene	Brain/Cognition
PDHA1	Confirmed DD Gene	Brain/Cognition
PAX9	Confirmed DD Gene	Teeth & Dentitian
OTC	Confirmed DD Gene	Brain/Cognition
NODAL	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
TSHR	Confirmed DD Gene	Endocrine/Metabolic
VHL	IF Gene: Adult Rx	Endocrine/Metabolic
GATA6	Confirmed DD Gene	Heart/Cardiovasculature
KDM6A	Confirmed DD Gene	Brain/Cognition
SMARCA2	Confirmed DD Gene	Brain/Cognition
ACTB	Confirmed DD Gene	Brain/Cognition
ACTG1	Confirmed DD Gene	Brain/Cognition
NDUFV2		Multisystem
MSX2	Confirmed DD Gene	Skeleton
MSX1	Confirmed DD Gene	Face
MPI	Confirmed DD Gene	Endocrine/Metabolic
MPDU1	Confirmed DD Gene	Brain/Cognition
MOGS	Probable DD gene	Endocrine/Metabolic
MOCS2	Confirmed DD Gene	Endocrine/Metabolic
MOCS1	Confirmed DD Gene	Endocrine/Metabolic
MLYCD	Confirmed DD Gene	Endocrine/Metabolic
MID1	Confirmed DD Gene	Brain/Cognition
MID1	Confirmed DD Gene	Face
LEFTY2	Possible DD Gene	Heart/Cardiovasculature
LEFTY2	Possible DD Gene	GI tract
JAG1	Confirmed DD Gene	Heart/Cardiovasculature
JAG1	Confirmed DD Gene	GI tract
IGF2	Confirmed DD Gene	Endocrine
HESX1	Probable DD gene	Endocrine
GPR56	Confirmed DD Gene	Brain/Cognition
GLI2	Confirmed DD Gene	Brain/Cognition
GLI3	Confirmed DD Gene	Brain/Cognition
GLI3	Confirmed DD Gene	Endocrine
FBN2	Confirmed DD Gene	Ear
FANCM	Probable DD gene	Bone Marrow/Immune 
FANCM	Probable DD gene	Skeleton
FANCL	Probable DD gene	Skeleton
FANCL	Probable DD gene	Bone Marrow/Immune 
FANCI	Confirmed DD Gene	Skeleton
FANCI	Confirmed DD Gene	Bone Marrow/Immune 
FANCB	Confirmed DD Gene	Skeleton
